producto,variante,categoria,precio_venta,costo_fijo
Factura,Membrillo,Facturas,1500,
Factura,Pastelera,Facturas,1500,
Factura,Manjar,Facturas,1500,
Medialuna,Tradicional,Medialuna_Tradicional,1690,
Medialuna,DulceDeLeche,Medialuna_Clasica,1890,
Medialuna,Membrillo,Medialuna_Clasica,1890,
Medialuna,Pastelera,Medialuna_Clasica,1890,
Medialuna,ManzanaCanela,Medialuna_Clasica,1890,
Medialuna,Chocotorta,Medialuna_Especial,2390,
Medialuna,NutellaChocBlanco,Medialuna_Especial,2390,
Medialuna,Pistacho,Medialuna_Premium,3690,
Sandwich,JamonYQueso,Sandwich,3290,
Sandwich,PolloYPalta,Sandwich,3020,
Muffin,Chocolate,Muffin,2200,623
Cafe,9oz,Cafe,2690,
