producto,variante,categoria,costo_masa,costo_relleno,costo_cobertura,costo_almibar,costo_otros,precio_venta
Factura,Membrillo,Facturas,141,50,0,0,0,1500
Factura,Pastelera,Facturas,141,55,0,0,0,1500
Factura,Manjar,Facturas,141,160,0,0,0,1500
Medialuna,Tradicional,Medialuna_Tradicional,400,0,0,8,0,1690
Medialuna,DulceDeLeche,Medialuna_Clasica,400,200,0,8,0,1890
Medialuna,Membrillo,Medialuna_Clasica,400,100,0,8,0,1890
Medialuna,Pastelera,Medialuna_Clasica,400,55,0,8,0,1890
Medialuna,ManzanaCanela,Medialuna_Clasica,400,112,0,8,0,1890
Medialuna,Chocotorta,Medialuna_Especial,400,343,250,8,0,2390
Medialuna,NutellaChocBlanco,Medialuna_Especial,400,452,0,8,0,2390
Medialuna,Pistacho,Medialuna_Premium,400,891,168,8,0,3690
Sandwich,JamonYQueso,Sandwich,316,1000,0,0,0,3290
Sandwich,PolloYPalta,Sandwich,316,890,0,0,0,3020
Muffin,Chocolate,Muffin,0,0,0,0,623,2200
Cafe,9oz,Cafe,0,0,0,0,845,2690
