producto,variante,componente,insumo,cantidad,unidad,rendimiento_lote
Factura,Membrillo,Masa,harina_0000,46.6,g,103.0
Factura,Membrillo,Masa,leche_polvo,3.107,g,103.0
Factura,Membrillo,Masa,azucar,4.058,g,103.0
Factura,Membrillo,Masa,glucosa,0.388,g,103.0
Factura,Membrillo,Masa,sal,0.777,g,103.0
Factura,Membrillo,Masa,esencia_vainilla,0.000971,L,103.0
Factura,Membrillo,Masa,margarina_hoja,12.883,g,103.0
Factura,Membrillo,Relleno,membrillo,20.0,g,1.0
Factura,Pastelera,Masa,harina_0000,46.6,g,103.0
Factura,Pastelera,Masa,leche_polvo,3.107,g,103.0
Factura,Pastelera,Masa,azucar,4.058,g,103.0
Factura,Pastelera,Masa,glucosa,0.388,g,103.0
Factura,Pastelera,Masa,sal,0.777,g,103.0
Factura,Pastelera,Masa,esencia_vainilla,0.000971,L,103.0
Factura,Pastelera,Masa,margarina_hoja,12.883,g,103.0
Factura,Pastelera,Relleno,esencia_vainilla,0.001169,L,42.75
Factura,Pastelera,Relleno,huevo,0.09357,unidad,42.75
Factura,Pastelera,Relleno,azucar,7.018,g,42.75
Factura,Pastelera,Relleno,maicena,2.339,g,42.75
Factura,Pastelera,Relleno,harina_0000,0.4678,g,42.75
Factura,Pastelera,Relleno,leche_polvo,2.807,g,42.75
Factura,Manjar,Masa,harina_0000,46.6,g,103.0
Factura,Manjar,Masa,leche_polvo,3.107,g,103.0
Factura,Manjar,Masa,azucar,4.058,g,103.0
Factura,Manjar,Masa,glucosa,0.388,g,103.0
Factura,Manjar,Masa,sal,0.777,g,103.0
Factura,Manjar,Masa,esencia_vainilla,0.000971,L,103.0
Factura,Manjar,Masa,margarina_hoja,12.883,g,103.0
Factura,Manjar,Relleno,manjar,40.0,g,1.0
Medialuna,Tradicional,Masa,harina_0000,67.6056338028169,g,71.0
Medialuna,Tradicional,Masa,leche_polvo,4.50697558721557,g,71.0
Medialuna,Tradicional,Masa,azucar,5.886901408450704,g,71.0
Medialuna,Tradicional,Masa,glucosa,0.5633969482665302,g,71.0
